<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.04.03	00:00:00	1.23247	1.23250	1.23247	1.23250	3	0	100
2023.04.03	00:05:00	1.23250	1.23250	1.23245	1.23245	4	0	90
2023.04.03	00:10:00	1.23245	1.23252	1.23245	1.23251	19	0	87
2023.04.03	00:15:00	1.23252	1.23292	1.23247	1.23247	13	0	19
2023.04.03	00:20:00	1.23245	1.23297	1.23242	1.23297	20	0	19
2023.04.03	00:25:00	1.23252	1.23296	1.23247	1.23247	13	0	19
2023.04.03	00:30:00	1.23247	1.23297	1.23247	1.23273	36	0	17
2023.04.03	00:35:00	1.23277	1.23279	1.23219	1.23278	24	0	17
2023.04.03	00:40:00	1.23279	1.23286	1.23250	1.23286	179	0	17
2023.04.03	00:45:00	1.23286	1.23293	1.23262	1.23293	17	0	17
2023.04.03	00:50:00	1.23293	1.23324	1.23264	1.23293	20	0	17
2023.04.03	00:55:00	1.23295	1.23297	1.23263	1.23292	22	0	17
2023.04.03	01:00:00	1.23271	1.23290	1.23229	1.23250	151	0	8
2023.04.03	01:05:00	1.23245	1.23295	1.23216	1.23226	135	0	8
2023.04.03	01:10:00	1.23227	1.23230	1.23188	1.23214	267	0	8
2023.04.03	01:15:00	1.23217	1.23220	1.23165	1.23165	515	0	8
2023.04.03	01:20:00	1.23165	1.23195	1.23155	1.23193	115	0	8
2023.04.03	01:25:00	1.23193	1.23220	1.23191	1.23220	78	0	14
2023.04.03	01:30:00	1.23215	1.23215	1.23057	1.23062	266	0	8
2023.04.03	01:35:00	1.23062	1.23122	1.23058	1.23114	283	0	8
2023.04.03	01:40:00	1.23115	1.23128	1.23109	1.23120	358	0	8
2023.04.03	01:45:00	1.23121	1.23152	1.23118	1.23142	304	0	8
2023.04.03	01:50:00	1.23142	1.23142	1.23082	1.23087	263	0	8
2023.04.03	01:55:00	1.23086	1.23111	1.23086	1.23094	225	0	8
2023.04.03	02:00:00	1.23094	1.23103	1.23064	1.23069	521	0	7
2023.04.03	02:05:00	1.23069	1.23079	1.23029	1.23035	774	0	7
2023.04.03	02:10:00	1.23029	1.23029	1.22970	1.22984	499	0	7
2023.04.03	02:15:00	1.22982	1.23034	1.22982	1.23028	553	0	7
2023.04.03	02:20:00	1.23027	1.23030	1.22973	1.23004	554	0	7
2023.04.03	02:25:00	1.23004	1.23024	1.22974	1.22975	495	0	7
2023.04.03	02:30:00	1.22975	1.23017	1.22973	1.22997	474	0	7
2023.04.03	02:35:00	1.22996	1.22998	1.22972	1.22989	375	0	7
2023.04.03	02:40:00	1.22989	1.23007	1.22975	1.22986	336	0	7
2023.04.03	02:45:00	1.22986	1.22988	1.22901	1.22901	400	0	7
2023.04.03	02:50:00	1.22901	1.22909	1.22853	1.22878	458	0	7
2023.04.03	02:55:00	1.22878	1.22908	1.22836	1.22858	462	0	7
2023.04.03	03:00:00	1.22858	1.22891	1.22817	1.22851	886	0	7
2023.04.03	03:05:00	1.22857	1.22934	1.22857	1.22933	583	0	6
2023.04.03	03:10:00	1.22933	1.22953	1.22888	1.22934	601	0	7
2023.04.03	03:15:00	1.22935	1.22954	1.22916	1.22922	535	0	7
2023.04.03	03:20:00	1.22922	1.22974	1.22917	1.22962	456	0	7
2023.04.03	03:25:00	1.22962	1.22981	1.22944	1.22966	488	0	7
2023.04.03	03:30:00	1.22963	1.23005	1.22952	1.22992	467	0	7
2023.04.03	03:35:00	1.22991	1.23014	1.22973	1.22973	583	0	7
2023.04.03	03:40:00	1.22973	1.22991	1.22968	1.22977	476	0	7
2023.04.03	03:45:00	1.22976	1.22982	1.22942	1.22947	378	0	7
2023.04.03	03:50:00	1.22947	1.23056	1.22937	1.23045	654	0	6
2023.04.03	03:55:00	1.23044	1.23078	1.23039	1.23065	604	0	7
2023.04.03	04:00:00	1.23064	1.23075	1.22992	1.23023	571	0	7
2023.04.03	04:05:00	1.23023	1.23036	1.22995	1.22999	384	0	7
2023.04.03	04:10:00	1.22999	1.23023	1.22995	1.23019	327	0	7
2023.04.03	04:15:00	1.23020	1.23057	1.23009	1.23050	560	0	7
2023.04.03	04:20:00	1.23050	1.23060	1.23005	1.23057	785	0	7
2023.04.03	04:25:00	1.23058	1.23075	1.23022	1.23033	611	0	7
2023.04.03	04:30:00	1.23032	1.23052	1.23012	1.23032	789	0	7
2023.04.03	04:35:00	1.23031	1.23040	1.22983	1.22992	722	0	7
2023.04.03	04:40:00	1.22992	1.23012	1.22938	1.22940	713	0	7
2023.04.03	04:45:00	1.22940	1.22956	1.22907	1.22955	826	0	7
2023.04.03	04:50:00	1.22954	1.22973	1.22945	1.22964	767	0	7
2023.04.03	04:55:00	1.22963	1.23005	1.22946	1.22964	712	0	7
2023.04.03	05:00:00	1.22965	1.22977	1.22930	1.22950	766	0	7
2023.04.03	05:05:00	1.22950	1.22964	1.22922	1.22964	700	0	7
2023.04.03	05:10:00	1.22965	1.22965	1.22938	1.22958	643	0	7
2023.04.03	05:15:00	1.22960	1.22966	1.22954	1.22963	400	0	7
2023.04.03	05:20:00	1.22964	1.22985	1.22953	1.22970	463	0	7
2023.04.03	05:25:00	1.22971	1.22978	1.22963	1.22970	408	0	7
2023.04.03	05:30:00	1.22968	1.22970	1.22925	1.22940	524	0	7
2023.04.03	05:35:00	1.22938	1.22946	1.22903	1.22923	390	0	7
2023.04.03	05:40:00	1.22923	1.22925	1.22906	1.22916	415	0	7
2023.04.03	05:45:00	1.22912	1.22954	1.22903	1.22933	365	0	7
2023.04.03	05:50:00	1.22934	1.22936	1.22882	1.22883	414	0	7
2023.04.03	05:55:00	1.22881	1.22882	1.22840	1.22845	579	0	7
2023.04.03	06:00:00	1.22848	1.22889	1.22823	1.22826	608	0	7
2023.04.03	06:05:00	1.22826	1.22828	1.22811	1.22814	373	0	7
2023.04.03	06:10:00	1.22813	1.22816	1.22776	1.22784	439	0	7
2023.04.03	06:15:00	1.22785	1.22806	1.22777	1.22805	371	0	7
2023.04.03	06:20:00	1.22801	1.22819	1.22786	1.22813	411	0	7
2023.04.03	06:25:00	1.22812	1.22829	1.22807	1.22814	407	0	7
2023.04.03	06:30:00	1.22813	1.22834	1.22798	1.22825	496	0	7
2023.04.03	06:35:00	1.22825	1.22841	1.22820	1.22829	521	0	7
2023.04.03	06:40:00	1.22830	1.22836	1.22816	1.22829	580	0	7
2023.04.03	06:45:00	1.22829	1.22841	1.22825	1.22834	281	0	7
2023.04.03	06:50:00	1.22835	1.22844	1.22792	1.22793	374	0	7
2023.04.03	06:55:00	1.22793	1.22793	1.22762	1.22766	428	0	7
2023.04.03	07:00:00	1.22765	1.22781	1.22757	1.22780	358	0	4
2023.04.03	07:05:00	1.22780	1.22799	1.22774	1.22776	362	0	4
2023.04.03	07:10:00	1.22777	1.22800	1.22762	1.22795	368	0	4
2023.04.03	07:15:00	1.22793	1.22826	1.22786	1.22791	333	0	4
2023.04.03	07:20:00	1.22791	1.22795	1.22770	1.22780	340	0	4
2023.04.03	07:25:00	1.22780	1.22780	1.22761	1.22769	332	0	4
2023.04.03	07:30:00	1.22768	1.22802	1.22765	1.22802	404	0	4
2023.04.03	07:35:00	1.22801	1.22829	1.22801	1.22829	321	0	4
